5, Arrio, 3754104, 99560.484375000
13, Cl√Ø√≤, 2146160, 48243.609375000
22, Donna, 1115348, 36400.968750000
20, Guido, 1337499, 7534.889648438
21, Isifile, 1348323, 81317.765625000
10, Parisi?¬ª., 2369159, 85156.781250000
29, appetibili, 2479328, 82973.906250000
24, biondo, 4562917, 27489.326171875
19, cos√¨, 2360017, 11812.276367188
28, diversamente, 1859749, 68746.632812500
14, donna, 3119429, 22818.166015625
9, ferro, 2163766, 59111.527343750
8, fornito, 2735414, 68601.757812500
7, giace;, 4896376, 23517.728515625
23, labbra, 1677122, 77937.445312500
27, manda, 4961851, 23357.736328125
3, misericordia, 496325, 61628.929687500
32, nostra, 246733, 35516.339843750
16, noto, 4599783, 91798.218750000
﻿0, noto, 233460, 32209.074218750
12, occhio, 3843159, 13586.470703125
34, pastori, 2900650, 44651.941406250
1, piangea, 4741192, 81176.625000000
11, quali, 1188961, 44967.269531250
25, qualunque, 2570634, 69433.601562500
4, quando, 4476757, 10838.640625000
30, quanto, 2050631, 65515.304687500
31, questa, 1380061, 32743.833984375
17, rezzo;, 4606238, 25986.017578125
15, segnor, 4120770, 79957.984375000
33, sinistra, 4888510, 42178.976562500
18, sono, 872018, 67866.843750000
2, spenti!, 1014671, 4476.013671875
6, terra, 4271997, 4410.390625000
26, ver', 1200616, 26743.523437500
